id,intent,question,answer
ADM001,admissions_application,How do I apply to XMUM?,"Here is how to apply to Xiamen University Malaysia (XMUM):

Submission methods (choose one):
1. Online: Apply through the portal at https://apply.xmu.edu.my/
2. Email: Send your documents to admissions@xmu.edu.my
3. Paper: Download and print the form at https://www.xmu.edu.my/index.php/admissions/download, then submit in person or by post to the XMUM Admissions Office at Jalan Sunsuria, Bandar Sunsuria, 43900 Sepang, Selangor.

Required documents:
- Certified copies of academic transcripts and certificates
- Copy of NRIC (Malaysians) or passport (international students)
- Proof of application and registration fee payment
- Scholarship & Study Grant Form (if applicable)

Application fee:
- RM300 (non-refundable). Additional SST may apply for international students.
- Payment methods: cash, cheque, bank transfer, or Flywire (international students).

After submission, the Admissions Office will review your application and contact you if additional documents are needed.

For further assistance, contact the Admissions Office:
- Email: admissions@xmu.edu.my
- Phone: +03 7610 2079
- WhatsApp: https://wa.me/60376102079"
ADM001,admissions_application,What is the application process for XMUM?,"Here is how to apply to Xiamen University Malaysia (XMUM):

Submission methods (choose one):
1. Online: Apply through the portal at https://apply.xmu.edu.my/
2. Email: Send your documents to admissions@xmu.edu.my
3. Paper: Download and print the form at https://www.xmu.edu.my/index.php/admissions/download, then submit in person or by post to the XMUM Admissions Office at Jalan Sunsuria, Bandar Sunsuria, 43900 Sepang, Selangor.

Required documents:
- Certified copies of academic transcripts and certificates
- Copy of NRIC (Malaysians) or passport (international students)
- Proof of application and registration fee payment
- Scholarship & Study Grant Form (if applicable)

Application fee:
- RM300 (non-refundable). Additional SST may apply for international students.
- Payment methods: cash, cheque, bank transfer, or Flywire (international students).

After submission, the Admissions Office will review your application and contact you if additional documents are needed.

For further assistance, contact the Admissions Office:
- Email: admissions@xmu.edu.my
- Phone: +03 7610 2079
- WhatsApp: https://wa.me/60376102079"
ADM001,admissions_application,How can I start my application to XMUM?,"Here is how to apply to Xiamen University Malaysia (XMUM):

Submission methods (choose one):
1. Online: Apply through the portal at https://apply.xmu.edu.my/
2. Email: Send your documents to admissions@xmu.edu.my
3. Paper: Download and print the form at https://www.xmu.edu.my/index.php/admissions/download, then submit in person or by post to the XMUM Admissions Office at Jalan Sunsuria, Bandar Sunsuria, 43900 Sepang, Selangor.

Required documents:
- Certified copies of academic transcripts and certificates
- Copy of NRIC (Malaysians) or passport (international students)
- Proof of application and registration fee payment
- Scholarship & Study Grant Form (if applicable)

Application fee:
- RM300 (non-refundable). Additional SST may apply for international students.
- Payment methods: cash, cheque, bank transfer, or Flywire (international students).

After submission, the Admissions Office will review your application and contact you if additional documents are needed.

For further assistance, contact the Admissions Office:
- Email: admissions@xmu.edu.my
- Phone: +03 7610 2079
- WhatsApp: https://wa.me/60376102079"
ADM001,admissions_application,What are the steps to apply to Xiamen University Malaysia?,"Here is how to apply to Xiamen University Malaysia (XMUM):

Submission methods (choose one):
1. Online: Apply through the portal at https://apply.xmu.edu.my/
2. Email: Send your documents to admissions@xmu.edu.my
3. Paper: Download and print the form at https://www.xmu.edu.my/index.php/admissions/download, then submit in person or by post to the XMUM Admissions Office at Jalan Sunsuria, Bandar Sunsuria, 43900 Sepang, Selangor.

Required documents:
- Certified copies of academic transcripts and certificates
- Copy of NRIC (Malaysians) or passport (international students)
- Proof of application and registration fee payment
- Scholarship & Study Grant Form (if applicable)

Application fee:
- RM300 (non-refundable). Additional SST may apply for international students.
- Payment methods: cash, cheque, bank transfer, or Flywire (international students).

After submission, the Admissions Office will review your application and contact you if additional documents are needed.

For further assistance, contact the Admissions Office:
- Email: admissions@xmu.edu.my
- Phone: +03 7610 2079
- WhatsApp: https://wa.me/60376102079"
ADM001,admissions_application,XMUM application process,"Here is how to apply to Xiamen University Malaysia (XMUM):

Submission methods (choose one):
1. Online: Apply through the portal at https://apply.xmu.edu.my/
2. Email: Send your documents to admissions@xmu.edu.my
3. Paper: Download and print the form at https://www.xmu.edu.my/index.php/admissions/download, then submit in person or by post to the XMUM Admissions Office at Jalan Sunsuria, Bandar Sunsuria, 43900 Sepang, Selangor.

Required documents:
- Certified copies of academic transcripts and certificates
- Copy of NRIC (Malaysians) or passport (international students)
- Proof of application and registration fee payment
- Scholarship & Study Grant Form (if applicable)

Application fee:
- RM300 (non-refundable). Additional SST may apply for international students.
- Payment methods: cash, cheque, bank transfer, or Flywire (international students).

After submission, the Admissions Office will review your application and contact you if additional documents are needed.

For further assistance, contact the Admissions Office:
- Email: admissions@xmu.edu.my
- Phone: +03 7610 2079
- WhatsApp: https://wa.me/60376102079"
ADM001,admissions_application,XMUM admission steps,"Here is how to apply to Xiamen University Malaysia (XMUM):

Submission methods (choose one):
1. Online: Apply through the portal at https://apply.xmu.edu.my/
2. Email: Send your documents to admissions@xmu.edu.my
3. Paper: Download and print the form at https://www.xmu.edu.my/index.php/admissions/download, then submit in person or by post to the XMUM Admissions Office at Jalan Sunsuria, Bandar Sunsuria, 43900 Sepang, Selangor.

Required documents:
- Certified copies of academic transcripts and certificates
- Copy of NRIC (Malaysians) or passport (international students)
- Proof of application and registration fee payment
- Scholarship & Study Grant Form (if applicable)

Application fee:
- RM300 (non-refundable). Additional SST may apply for international students.
- Payment methods: cash, cheque, bank transfer, or Flywire (international students).

After submission, the Admissions Office will review your application and contact you if additional documents are needed.

For further assistance, contact the Admissions Office:
- Email: admissions@xmu.edu.my
- Phone: +03 7610 2079
- WhatsApp: https://wa.me/60376102079"
ADM001,admissions_application,How do I get admitted to XMUM?,"Here is how to apply to Xiamen University Malaysia (XMUM):

Submission methods (choose one):
1. Online: Apply through the portal at https://apply.xmu.edu.my/
2. Email: Send your documents to admissions@xmu.edu.my
3. Paper: Download and print the form at https://www.xmu.edu.my/index.php/admissions/download, then submit in person or by post to the XMUM Admissions Office at Jalan Sunsuria, Bandar Sunsuria, 43900 Sepang, Selangor.

Required documents:
- Certified copies of academic transcripts and certificates
- Copy of NRIC (Malaysians) or passport (international students)
- Proof of application and registration fee payment
- Scholarship & Study Grant Form (if applicable)

Application fee:
- RM300 (non-refundable). Additional SST may apply for international students.
- Payment methods: cash, cheque, bank transfer, or Flywire (international students).

After submission, the Admissions Office will review your application and contact you if additional documents are needed.

For further assistance, contact the Admissions Office:
- Email: admissions@xmu.edu.my
- Phone: +03 7610 2079
- WhatsApp: https://wa.me/60376102079"
ADM001,admissions_application,Apply XMUM university,"Here is how to apply to Xiamen University Malaysia (XMUM):

Submission methods (choose one):
1. Online: Apply through the portal at https://apply.xmu.edu.my/
2. Email: Send your documents to admissions@xmu.edu.my
3. Paper: Download and print the form at https://www.xmu.edu.my/index.php/admissions/download, then submit in person or by post to the XMUM Admissions Office at Jalan Sunsuria, Bandar Sunsuria, 43900 Sepang, Selangor.

Required documents:
- Certified copies of academic transcripts and certificates
- Copy of NRIC (Malaysians) or passport (international students)
- Proof of application and registration fee payment
- Scholarship & Study Grant Form (if applicable)

Application fee:
- RM300 (non-refundable). Additional SST may apply for international students.
- Payment methods: cash, cheque, bank transfer, or Flywire (international students).

After submission, the Admissions Office will review your application and contact you if additional documents are needed.

For further assistance, contact the Admissions Office:
- Email: admissions@xmu.edu.my
- Phone: +03 7610 2079
- WhatsApp: https://wa.me/60376102079"
ADM002,admissions_application,Can I apply to XMUM online?,"You can apply to XMUM online through the official application portal.

Steps to apply online:
1. Go to https://apply.xmu.edu.my/
2. Create an account on the portal.
3. Log in and complete the online application form.
4. Upload all required supporting documents.
5. Submit your application.

After submitting, you can track your application status through your personal dashboard. The Admissions Office may contact you if additional documents are needed.

For further assistance:
- Email: admissions@xmu.edu.my
- Phone: +03 7610 2079"
ADM002,admissions_application,Is there an online application portal for XMUM?,"You can apply to XMUM online through the official application portal.

Steps to apply online:
1. Go to https://apply.xmu.edu.my/
2. Create an account on the portal.
3. Log in and complete the online application form.
4. Upload all required supporting documents.
5. Submit your application.

After submitting, you can track your application status through your personal dashboard. The Admissions Office may contact you if additional documents are needed.

For further assistance:
- Email: admissions@xmu.edu.my
- Phone: +03 7610 2079"
